"","Pval","ERRate","ERloglik","ERace","ARDRate0","ARDRate1","ARDloglik","ARDace","convergence"
"1",0.0142593414977077,0.250764421002531,-101.024811796312,1.95166497009202,0.0908833836728442,0.301378949644972,-98.0219374124452,1.74659870643378,"Optimization has converged."
"2",1.8648379472346e-05,0.250764421002531,-101.024811796312,1.95166497009202,0.0408819997646333,0.392206168044619,-91.8635222795681,1.62360673660088,"Optimization has converged."
"3",0.000989801075345555,0.250764421002531,-101.024811796312,1.95166497009202,0.0719963655023169,0.333087301697345,-95.601537862052,1.7624287921485,"Optimization has converged."
"4",1.78446430962234e-07,0.250764421002531,-101.024811796312,1.95166497009202,0.026934788210676,0.465749719142688,-87.3980326811838,1.6556083286735,"Optimization has converged."
"5",1.79281457800356e-07,0.250764421002531,-101.024811796312,1.95166497009202,0.0273841175310558,0.447195643305783,-87.4025459432479,1.62284230635882,"Optimization has converged."
"6",4.18618950904632e-05,0.250764421002531,-101.024811796312,1.95166497009202,0.0611973316256029,0.380028399157817,-92.6322887399,1.64480317730132,"Optimization has converged."
"7",1.40591356773762e-05,0.250764421002531,-101.024811796312,1.95166497009202,0.0576027978923536,0.392173915485095,-91.5942669860933,1.56924073449786,"Optimization has converged."
"8",1.45920303774923e-05,0.250764421002531,-101.024811796312,1.95166497009202,0.056647069349432,0.406027089906435,-91.6297466692809,1.88919253160785,"Optimization has converged."
"9",2.45343775561233e-07,0.250764421002531,-101.024811796312,1.95166497009202,0.0297125408822297,0.385147097094657,-87.7057084927388,1.68385453757198,"Optimization has converged."
"10",7.79615257592518e-07,0.250764421002531,-101.024811796312,1.95166497009202,0.0244471523651387,0.391990904397642,-88.8210240632404,1.76586738337712,"Optimization has converged."
