"","Pval","ERRate","ERloglik","ERace","ARDRate0","ARDRate1","ARDloglik","ARDace","convergence"
"1",9.58253182001546e-09,0.230468404809455,-107.748848025006,1.93905402378602,0.0473810033796895,0.494362304583347,-91.2867715606055,1.59949761155088,"Optimization has converged."
"2",2.54443249587245e-08,0.230468404809455,-107.748848025006,1.93905402378602,0.0324467731346247,0.478323403049727,-92.2352693805237,1.38148376075909,"Optimization has converged."
"3",4.14215494194904e-07,0.230468404809455,-107.748848025006,1.93905402378602,0.0555364686540091,0.433229071246105,-94.9353770410226,1.56657885838146,"Optimization has converged."
"4",3.00627093724874e-09,0.230468404809455,-107.748848025006,1.93905402378602,0.0459325050147213,0.582060160048244,-90.1589524996048,1.55393661780516,"Optimization has converged."
"5",1.3796441959881e-07,0.230468404809455,-107.748848025006,1.93905402378602,0.0336965471961568,0.405695905908134,-93.8732607834746,1.45951578339499,"Optimization has converged."
"6",6.80776400302772e-08,0.230468404809455,-107.748848025006,1.93905402378602,0.0491027908002955,0.462741515585204,-93.1895112063711,1.66836982881701,"Optimization has converged."
"7",1.67108574769977e-05,0.230468404809455,-107.748848025006,1.93905402378602,0.0610892633318402,0.365235218047001,-98.4830363423633,1.5395703062921,"Optimization has converged."
"8",1.15454943635608e-06,0.230468404809455,-107.748848025006,1.93905402378602,0.0521720419746768,0.403083620080481,-95.9230902115483,1.62901228180308,"Optimization has converged."
"9",4.20076939229445e-06,0.230468404809455,-107.748848025006,1.93905402378602,0.0555823377235941,0.390652674350713,-97.1633571830416,1.37959303241023,"Optimization has converged."
"10",0.00071824864720811,0.230468404809455,-107.748848025006,1.93905402378602,0.0729830684855084,0.315572261169213,-102.02813781667,1.80211429570636,"Optimization has converged."
