"","Pval","ERRate","ERloglik","ERace","ARDRate0","ARDRate1","ARDloglik","ARDace","convergence"
"1",6.05158222316818e-08,0.225976163943331,-111.125720759504,1.93911044720154,0.055593823872958,0.495910860229521,-96.4523120577982,1.48010059594786,"Optimization has converged."
"2",1.74760548813677e-08,0.225976163943331,-111.125720759504,1.93911044720154,0.0386734624156383,0.459029677760311,-95.247454939066,1.64711031602352,"Optimization has converged."
"3",4.56660848904713e-05,0.225976163943331,-111.125720759504,1.93911044720154,0.0666351625536404,0.350360339405344,-102.815703539321,1.69804117608053,"Optimization has converged."
"4",5.05765192841457e-06,0.225976163943331,-111.125720759504,1.93911044720154,0.0613879781329241,0.395597850270901,-100.71805599831,1.63704820866918,"Optimization has converged."
"5",4.75404339990003e-09,0.225976163943331,-111.125720759504,1.93911044720154,0.0373462682122517,0.461994895113404,-93.9819272477197,1.3821346398968,"Optimization has converged."
"6",3.8260889802237e-09,0.225976163943331,-111.125720759504,1.93911044720154,0.0512661975456908,0.536297922161502,-93.7705884969823,1.55155486999684,"Optimization has converged."
"7",3.82525933731595e-07,0.225976163943331,-111.125720759504,1.93911044720154,0.047450472724908,0.439403415721116,-98.2354508348697,1.74169272281298,"Optimization has converged."
"8",3.59967152330872e-06,0.225976163943331,-111.125720759504,1.93911044720154,0.059882331907801,0.39253540172262,-100.39221199858,1.74106607143322,"Optimization has converged."
"9",3.78137206099741e-07,0.225976163943331,-111.125720759504,1.93911044720154,0.0571354692255791,0.427584237608624,-98.2243148877858,1.67606325797057,"Optimization has converged."
"10",2.68968184440754e-07,0.225976163943331,-111.125720759504,1.93911044720154,0.041069859623314,0.408343389839998,-97.8954197391585,1.69035488899565,"Optimization has converged."
