"","Pval","ERRate","ERloglik","ERace","ARDloglik","ARDace","ARDRate0","ARDRate1","ARDRate2","convergence"
"1",0.0350931008217021,0.030348760309553,-37.2062207716609,2.09700248043145,-33.8564700460443,2.13580073304604,3.0348760309553e-06,0.0075489744350917,0.0371992469468595,"Optimization has converged."
"2",0.00967012570711327,0.030348760309553,-37.2062207716609,2.09700248043145,-32.567506801761,2.09709494539171,3.0348760309553e-06,0.00615261647168215,0.0397026955445439,"Optimization has converged."
"3",0.00030235955877504,0.030348760309553,-37.2062207716609,2.09700248043145,-29.1023271148493,2.09597545726176,3.03487603095162e-06,0.00491519599412047,0.0499892910790069,"Optimization has converged."
"4",0.00507914508064892,0.030348760309553,-37.2062207716609,2.09700248043145,-31.9236084488958,1.97273438937589,3.0348760309553e-06,0.00609412118946297,0.043325609704332,"Optimization may not have converged.  Consider increasing maxit."
"5",0.030081800190785,0.030348760309553,-37.2062207716609,2.09700248043145,-33.7023858367378,2.09612079076583,3.0348760309553e-06,0.00764903313839989,0.0372455301848985,"Optimization may not have converged.  Consider increasing maxit."
"6",0.000304959065622687,0.030348760309553,-37.2062207716609,2.09700248043145,-29.1108877702238,2.12740056088781,3.03487603095509e-06,0.00500158844155673,0.0464350560518554,"Optimization has converged."
"7",0.000622637512500786,0.030348760309553,-37.2062207716609,2.09700248043145,-29.8246747212556,2.37535600328027,3.0348760309553e-06,0.00528580075344408,0.0450920537865959,"Optimization has converged."
"8",0.00406879590222922,0.030348760309553,-37.2062207716609,2.09700248043145,-31.7018126012438,2.09659868535427,3.0348760309553e-06,0.0057141619200463,0.0421928784174117,"Optimization has converged."
"9",0.00399843317767623,0.030348760309553,-37.2062207716609,2.09700248043145,-31.6843680714811,2.09415058843674,3.03487603095509e-06,0.00586504611553965,0.0444717565887865,"Optimization may not have converged.  Consider increasing maxit."
"10",0.00242450806718367,0.030348760309553,-37.2062207716609,2.09700248043145,-31.1840941375963,2.09440299093247,3.0348760309553e-06,0.00557445239289686,0.0429297121419317,"Optimization has converged."
"11",0.0435431871732561,0.030348760309553,-37.2062207716609,2.09700248043145,-34.0722187468455,2.11134564683823,3.0348760309553e-06,0.00757565878048417,0.0378946475519557,"Optimization has converged."
"12",0.00206954161061925,0.030348760309553,-37.2062207716609,2.09700248043145,-31.0257926312884,2.12180642509827,3.03487603095509e-06,0.00541283820862448,0.0443745517313222,"Optimization has converged."
"13",0.000859070018543672,0.030348760309553,-37.2062207716609,2.09700248043145,-30.1465606440513,2.09552166115744,0.00121384835675005,0.00554887974517683,0.0463348429808549,"Optimization has converged."
"14",0.0472833299550194,0.030348760309553,-37.2062207716609,2.09700248043145,-34.1546232938172,2.27917356090486,3.0348760309553e-06,0.00845446151021895,0.0366485152471372,"Optimization has converged."
"15",0.00404753405867368,0.030348760309553,-37.2062207716609,2.09700248043145,-31.6965733139564,2.09628198289067,3.03487603095509e-06,0.00577866085960766,0.0417785181565048,"Optimization has converged."
"16",0.00297768257603602,0.030348760309553,-37.2062207716609,2.09700248043145,-31.3896108316141,2.09580070651033,3.03487603095509e-06,0.0056609335855444,0.0421607551782669,"Optimization may not have converged.  Consider increasing maxit."
"17",0.00289515347516979,0.030348760309553,-37.2062207716609,2.09700248043145,-31.3615036161741,2.09699142413878,3.0348760309553e-06,0.00564776935732495,0.043088822639235,"Optimization has converged."
"18",0.0663964210937675,0.030348760309553,-37.2062207716609,2.09700248043145,-34.4941086485183,2.0973125882047,3.0348760309553e-06,0.00832448945983514,0.0364588682356922,"Optimization has converged."
"19",0.021303598386899,0.030348760309553,-37.2062207716609,2.09700248043145,-33.3573414894778,2.09736234317826,3.0348760309553e-06,0.00672533763812357,0.0384458001520994,"Optimization has converged."
"20",0.00141529112177473,0.030348760309553,-37.2062207716609,2.09700248043145,-30.6458007423826,2.09515547915673,3.03487603095509e-06,0.00525234155132979,0.0442474074716587,"Optimization has converged."
"21",0.00366065957024724,0.030348760309553,-37.2062207716609,2.09700248043145,-31.5961088343062,2.09620394136912,3.0348760309553e-06,0.00559864208505633,0.0433467219579151,"Optimization has converged."
"22",0.00440811601436599,0.030348760309553,-37.2062207716609,2.09700248043145,-31.7819128832316,2.01135136542123,3.0348760309553e-06,0.00568781847232763,0.0419518101584492,"Optimization has converged."
"23",0.000795493952525877,0.030348760309553,-37.2062207716609,2.09700248043145,-30.0696734593411,2.24218444673065,3.03487603095509e-06,0.00516892317863632,0.0444473185461031,"Optimization has converged."
"24",0.0589725616623872,0.030348760309553,-37.2062207716609,2.09700248043145,-34.3755377718425,2.15550124015166,3.0348760309553e-06,0.0081395227098213,0.0362477700403653,"Optimization has converged."
"25",0.00130616780877806,0.030348760309553,-37.2062207716609,2.09700248043145,-30.5655630059205,2.09429845116521,3.03487603095509e-06,0.00553389249202892,0.0446857085369838,"Optimization has converged."
"26",0.00759588738556763,0.030348760309553,-37.2062207716609,2.09700248043145,-32.3260724600276,2.08548418563435,3.0348760309553e-06,0.00575579530023436,0.0408244109326849,"Optimization has converged."
"27",0.000559430272560718,0.030348760309553,-37.2062207716609,2.09700248043145,-29.717629109126,2.09732181086738,3.03487603095509e-06,0.00522115709515181,0.0480778329245504,"Optimization may not have converged.  Consider increasing maxit."
"28",0.00224410561779528,0.030348760309553,-37.2062207716609,2.09700248043145,-31.1067725459853,2.08847909319811,3.0348760309553e-06,0.00536400056832486,0.0430362845750101,"Optimization may not have converged.  Consider increasing maxit."
