"","Pval","ERRate","ERloglik","ERace","ARDloglik","ARDace","ARDRate0","ARDRate1","convergence"
"1",0.521769675561015,0.110777192000519,-120.298331572677,2.59258846963698,-120.093134652829,2.66872937670861,0.124493453347241,0.0935523878492679,"Optimization has converged."
"2",0.90962619417251,0.110777192000519,-120.298331572677,2.59258846963698,-120.291889306714,2.59257324046959,0.108676592831822,0.114439231352207,"Optimization has converged."
"3",0.378782342628437,0.110777192000519,-120.298331572677,2.59258846963698,-119.911006527259,2.69431586651564,0.127737154415046,0.0909554923220834,"Optimization has converged."
"4",0.468219804055197,0.110777192000519,-120.298331572677,2.59258846963698,-120.035244523284,2.50301753835757,0.0959574117346883,0.130502403010671,"Optimization has converged."
"5",0.336283512457454,0.110777192000519,-120.298331572677,2.59258846963698,-119.836057323433,2.43381015986759,0.090622969772707,0.14499263814584,"Optimization has converged."
"6",0.865101499608647,0.110777192000519,-120.298331572677,2.59258846963698,-120.283901315164,2.59256858777913,0.107430780229981,0.116063278527551,"Optimization has converged."
"7",0.501516821434907,0.110777192000519,-120.298331572677,2.59258846963698,-120.072468973156,2.59255882676088,0.120425404348995,0.0910047854408538,"Optimization has converged."
"8",0.279675540238705,0.110777192000519,-120.298331572677,2.59258846963698,-119.713998643257,2.42704697901154,0.0866742916959299,0.14077460565132,"Optimization has converged."
"9",0.209752631796649,0.110777192000519,-120.298331572677,2.59258846963698,-119.511765151657,2.41086965299933,0.0846462812367111,0.152540112098801,"Optimization has converged."
"10",0.744902826919238,0.110777192000519,-120.298331572677,2.59258846963698,-120.245399514844,2.55911980089376,0.104127246825727,0.119443429654421,"Optimization has converged."
"11",0.79901801796335,0.110777192000519,-120.298331572677,2.59258846963698,-120.265916364441,2.62245540354639,0.116188954124106,0.103944615725009,"Optimization has converged."
"12",0.690141420881052,0.110777192000519,-120.298331572677,2.59258846963698,-120.218865417583,2.63866476202778,0.118920592321028,0.100720440789759,"Optimization has converged."
"13",0.15890515785929,0.110777192000519,-120.298331572677,2.59258846963698,-119.30602449497,2.4495077449189,0.0813208694794421,0.147790437719178,"Optimization has converged."
"14",0.886789352306203,0.110777192000519,-120.298331572677,2.59258846963698,-120.28819725169,2.57246933794245,0.108024696366112,0.114887584731429,"Optimization has converged."
"15",0.914430486133195,0.110777192000519,-120.298331572677,2.59258846963698,-120.292558617755,2.58069328519251,0.108095520210294,0.113673080625108,"Optimization has converged."
"16",0.901576168672047,0.110777192000519,-120.298331572677,2.59258846963698,-120.290684376199,2.58116055337052,0.108273862943071,0.114848357126661,"Optimization has converged."
"17",0.882804503572068,0.110777192000519,-120.298331572677,2.59258846963698,-120.287465988473,2.61627083110474,0.114276551466394,0.106458767650118,"Optimization has converged."
"18",0.343452638626736,0.110777192000519,-120.298331572677,2.59258846963698,-119.84958101471,2.47712451879646,0.0895796872249679,0.14709471358353,"Optimization has converged."
"19",0.174028239258006,0.110777192000519,-120.298331572677,2.59258846963698,-119.37438331011,2.37681439394183,0.0839624628377072,0.160888738750393,"Optimization has converged."
"20",0.277298513423643,0.110777192000519,-120.298331572677,2.59258846963698,-119.708190376092,2.45682885123647,0.0879801240210711,0.143845023982261,"Optimization has converged."
"21",0.995736489775446,0.110777192000519,-120.298331572677,2.59258846963698,-120.29831729595,2.59258944520505,0.1109052237214,0.110632149962133,"Optimization has converged."
"22",0.98682363852056,0.110777192000519,-120.298331572677,2.59258846963698,-120.298195202198,2.59259066170178,0.111103342874729,0.110258970653512,"Optimization has converged."
"23",0.556037458228753,0.110777192000519,-120.298331572677,2.59258846963698,-120.12502572119,2.63997901333463,0.121689489965881,0.0893427918269174,"Optimization has converged."
"24",0.638611550986624,0.110777192000519,-120.298331572677,2.59258846963698,-120.188050254012,2.5806895496426,0.102231918692929,0.124238459573209,"Optimization has converged."
"25",0.964167883068205,0.110777192000519,-120.298331572677,2.59258846963698,-120.297322489572,2.59260742538687,0.111794048320429,0.10942419181217,"Optimization has converged."
"26",0.501428360672487,0.110777192000519,-120.298331572677,2.59258846963698,-120.072375560905,2.62243564274048,0.122055849851382,0.0954211977374181,"Optimization has converged."
"27",0.790834307111047,0.110777192000519,-120.298331572677,2.59258846963698,-120.263158792274,2.61636210045298,0.11542908591639,0.102942887047352,"Optimization has converged."
"28",0.880529950814586,0.110777192000519,-120.298331572677,2.59258846963698,-120.287036912095,2.59254699179881,0.107984412766655,0.115181724233654,"Optimization has converged."
"29",0.502191124727847,0.110777192000519,-120.298331572677,2.59258846963698,-120.073180099132,2.66511480842864,0.125481185960193,0.0929476825220971,"Optimization has converged."
"30",0.488439925596086,0.110777192000519,-120.298331572677,2.59258846963698,-120.058351009812,2.6708191610982,0.124617175074327,0.0942884230503943,"Optimization has converged."
"31",0.834335862086961,0.110777192000519,-120.298331572677,2.59258846963698,-120.276460975682,2.57157542846494,0.106731811923812,0.116431273257155,"Optimization has converged."
"32",0.931220678324878,0.110777192000519,-120.298331572677,2.59258846963698,-120.29460693944,2.61184561403965,0.113059316933968,0.107659335208471,"Optimization has converged."
"33",0.900512560586492,0.110777192000519,-120.298331572677,2.59258846963698,-120.290517337374,2.57208212044852,0.10833785669416,0.115089651057106,"Optimization has converged."
"34",0.895378566600938,0.110777192000519,-120.298331572677,2.59258846963698,-120.289685244865,2.60859287018745,0.113691077595865,0.106945819995918,"Optimization has converged."
"35",0.577864832484107,0.110777192000519,-120.298331572677,2.59258846963698,-120.143481977224,2.48762763535771,0.096800241709668,0.129959109178494,"Optimization has converged."
