"","BirdtreeFormat","Family","Final.polygyny","Final.EPP","Syllable.rep.min","Syllable.rep.final","Syllable.rep.max","Syll.song.min","Syll.song.final","Syll.song.max","Song.rep.min","Song.rep.final","Song.rep.max","Duration.min","Duration.final","Duration.max","Interval.min","Interval.final","Interval.max","Song.rate.min","Song.rate","Song.rate.max","Continuity"
"127","Fringilla_coelebs","Fringillidae",0,1,17.8,17.9,18,5,5,5,2.5,2.75,3,2.1,2.1,2.1,8.09,8.09,8.09,"5.888125613",5.888125613,"5.888125613",0.206084396
"129","Passerina_cyanea","Cardinalidae",0,1,8,8,8,5.63,7.315,9,1,1,1,2.2,2.35,2.5,8.59,8.6,8.61,"5.560704356",5.479452055,"5.400540054",0.214611872
"146","Acrocephalus_stentoreus","Acrocephalidae",0,NA,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Anthus_trivialis","Motacillidae",0,NA,11,11,11,6,6,6,NA,NA,NA,8,8,8,NA,NA,NA,NA,NA,NA,NA
"226","Cacicus_cela","Icteridae",1,NA,26,26,26,NA,NA,NA,6.5,253.25,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Carduelis_chloris","Fringillidae",0,NA,32.5,32.5,32.5,3,3,3,22,261,500,100,500,1000,NA,NA,NA,NA,NA,NA,NA
"260","Carpodacus_cassinii","Fringillidae",0,NA,27,27,27,NA,NA,NA,86,86,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","Carpodacus_erythrinus","Fringillidae",0,1,NA,NA,NA,4.5,4.9,5.3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","Certhia_familiaris","Certhiidae",0,NA,5,5,5,5,5,5,1,1,1,1.2,2.1,3,NA,NA,NA,NA,NA,NA,NA
"460","Lamprotornis_superbus","Sturnidae",0,1,39,39,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"486","Lonchura_striata","Estrildidae",NA,NA,11,11,11,11,11,11,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"530","Melospiza_georgiana","Passerellidae",1,1,3,3,3,3.5,3.5,3.5,2.2,3,3.5,2,2,2,NA,NA,NA,NA,NA,NA,NA
"531","Melospiza_lincolnii","Passerellidae",0,NA,20.4,20.4,20.4,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"532","Mimus_gilvus","Mimidae",0,NA,100,500,1000,2.96,2.96,2.96,100,500,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"549","Molothrus_ater","Icteridae",NA,1,15,15,15,NA,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"600","Padda_oryzivora","Estrildidae",NA,NA,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"612","Parus_atricapillus","Paridae",0,1,2,2,2,1,2,2.5,1,1.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"619","Parus_major","Paridae",0,0,3.4,7.9,10,2,2.2,2.4,3,3.75,4.5,3,3,3,NA,NA,NA,NA,NA,NA,NA
"625","Passer_domesticus","Passeridae",0,1,6,6,6,1,1,1,1,1,1,0.17,0.17,0.17,NA,NA,NA,NA,NA,NA,NA
"628","Passerella_iliaca","Passerellidae",NA,NA,19.87,19.87,19.87,7,7,7,1,3,3.2,2.2,2.2,2.2,NA,NA,NA,NA,NA,NA,NA
"645","Phoenicurus_ochruros","Muscicapidae",NA,NA,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"653","Phylloscopus_fuscatus","Phylloscopidae",1,1,18.6,25.3,27,1.5,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"721","Prunella_modularis","Prunellidae",NA,0,48,48,48,12,12,12,4,4,4,2.75,2.875,3,NA,NA,NA,NA,NA,NA,NA
"773","Serinus_canaria","Fringillidae",0,NA,25,69.85,81,9,9.5,10,100,300,316.2,8.3,8.3,8.3,NA,NA,NA,NA,NA,NA,NA
"785","Serinus_serinus","Fringillidae",0,0,54,58.75,63.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"803","Spizella_pusilla","Passerellidae",0,1,2,2,2,2,2,2,1,1,1,3,3,3,NA,NA,NA,NA,NA,NA,NA
"846","Taeniopygia_guttata","Estrildidae",0,0,8,8,8,6.8,7.4,8,1,1,1,0.9,0.9,0.9,NA,NA,NA,NA,NA,NA,NA
"877","Turdus_grayi","Turdidae",NA,1,14.5,14.5,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"899","Zosterops_lateralis","Zosteropidae",NA,0,60,60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
