"","Pval","ERRate","ERloglik","ERace","ARDRate0","ARDRate1","ARDloglik","ARDace","convergence"
"1",5.44349651567698e-08,0.220352453238627,-105.813023060724,1.94644806654529,0.0393490040668187,0.405601283880089,-91.0369965624619,1.40265204378091,"Optimization has converged."
"2",2.45907308034723e-08,0.220352453238627,-105.813023060724,1.94644806654529,0.0383924714547436,0.409909749542778,-90.26632782691,1.54346930127582,"Optimization has converged."
"3",5.4541704474685e-10,0.220352453238627,-105.813023060724,1.94644806654529,0.0354331193585273,0.470784392569956,-86.5592377862289,1.51489455161514,"Optimization has converged."
"4",1.97821156463397e-09,0.220352453238627,-105.813023060724,1.94644806654529,0.0328982569625862,0.438671084488584,-87.8155065762188,1.46241329623559,"Optimization has converged."
"5",2.72599211244584e-10,0.220352453238627,-105.813023060724,1.94644806654529,0.0270676446416876,0.448092581505272,-85.8821831800502,1.26168477736745,"Optimization has converged."
"6",2.59299505152208e-07,0.220352453238627,-105.813023060724,1.94644806654529,0.0406373984071758,0.371327275718628,-92.5473616002354,1.54311237454354,"Optimization has converged."
"7",3.21551476635296e-09,0.220352453238627,-105.813023060724,1.94644806654529,0.0302179568523253,0.420234972841341,-88.2886424760998,1.47213119818206,"Optimization has converged."
"8",7.4995040072408e-06,0.220352453238627,-105.813023060724,1.94644806654529,0.0456701851326387,0.336246967035533,-95.7823217676247,1.65695176804211,"Optimization has converged."
"9",2.81172767362892e-09,0.220352453238627,-105.813023060724,1.94644806654529,0.0370128798752923,0.452482850003101,-88.1579821170515,1.34571699353172,"Optimization has converged."
"10",4.32169212253477e-10,0.220352453238627,-105.813023060724,1.94644806654529,0.0354433559175395,0.494827123587165,-86.3320985701023,1.47464182377516,"Optimization has converged."
"11",2.11032156706495e-08,0.220352453238627,-105.813023060724,1.94644806654529,0.0403217607859998,0.426808030194652,-90.1178711222188,1.46813131971741,"Optimization may not have converged.  Consider increasing maxit."
"12",9.72527242032615e-10,0.220352453238627,-105.813023060724,1.94644806654529,0.0374351163422696,0.568128609180685,-87.1234120418557,1.59031014666224,"Optimization has converged."
"13",3.4783108662398e-08,0.220352453238627,-105.813023060724,1.94644806654529,0.0409991891991271,0.411180760418897,-90.6027682258461,1.51311201614859,"Optimization has converged."
"14",3.57675426902858e-10,0.220352453238627,-105.813023060724,1.94644806654529,0.0335374117788588,0.490057976611742,-86.1474102464052,1.500379723094,"Optimization has converged."
"15",3.43614205685641e-09,0.220352453238627,-105.813023060724,1.94644806654529,0.0381417539723033,0.439260823921544,-88.3532505996469,1.60052733220458,"Optimization has converged."
"16",8.80828645908091e-08,0.220352453238627,-105.813023060724,1.94644806654529,0.0416764614722081,0.394986472613731,-91.5031880202517,1.7139616352681,"Optimization has converged."
"17",5.4967843982472e-09,0.220352453238627,-105.813023060724,1.94644806654529,0.0366244619855306,0.445493956808626,-88.81047372797,1.39799732515856,"Optimization has converged."
"18",5.83149655319833e-10,0.220352453238627,-105.813023060724,1.94644806654529,0.0359462635036991,0.477510552564128,-86.6245115818263,1.56844891893986,"Optimization has converged."
"19",3.117388261318e-08,0.220352453238627,-105.813023060724,1.94644806654529,0.0394682620253595,0.41971868717518,-90.4965004414319,1.63072079030421,"Optimization has converged."
"20",3.60154084596325e-08,0.220352453238627,-105.813023060724,1.94644806654529,0.038967173118191,0.41669603093897,-90.6365353164966,1.69104079018849,"Optimization has converged."
"21",8.083872793976e-07,0.220352453238627,-105.813023060724,1.94644806654529,0.0432427920399802,0.357430952298636,-93.6441425704428,1.65758430964402,"Optimization has converged."
"22",9.14955797691754e-10,0.220352453238627,-105.813023060724,1.94644806654529,0.0352063033547651,0.473784962570175,-87.0639038217859,1.42423939038594,"Optimization has converged."
"23",5.74616819612204e-08,0.220352453238627,-105.813023060724,1.94644806654529,0.0392211651350549,0.401652615930764,-91.08943461945,1.64821244510851,"Optimization has converged."
"24",2.86495085933174e-07,0.220352453238627,-105.813023060724,1.94644806654529,0.0406815209796739,0.368209860014552,-92.6436896509144,1.53133159378505,"Optimization has converged."
"25",2.80190581992854e-08,0.220352453238627,-105.813023060724,1.94644806654529,0.0382747558580082,0.415362745081698,-90.3929825195812,1.34866344967323,"Optimization has converged."
"26",2.73050049613127e-08,0.220352453238627,-105.813023060724,1.94644806654529,0.0483312895457057,0.481548973886764,-90.3679335249631,1.98818519239592,"Optimization has converged."
"27",7.14617065795702e-09,0.220352453238627,-105.813023060724,1.94644806654529,0.0377022247833883,0.428229681880938,-89.0657174032778,1.5696071487981,"Optimization has converged."
"28",3.18164432976416e-08,0.220352453238627,-105.813023060724,1.94644806654529,0.0390757987957849,0.411210934243677,-90.5162931203859,1.43626122266988,"Optimization has converged."
"29",2.77729573906125e-08,0.220352453238627,-105.813023060724,1.94644806654529,0.0394611466581393,0.411647963400962,-90.384422259924,1.51446505946447,"Optimization has converged."
"30",3.36271208616215e-09,0.220352453238627,-105.813023060724,1.94644806654529,0.0367444897272565,0.433361253144769,-88.3322205994034,1.44167735152451,"Optimization has converged."
"31",5.97685582755908e-07,0.220352453238627,-105.813023060724,1.94644806654529,0.041110594007781,0.374038891408163,-93.3531733717374,1.69104330751778,"Optimization has converged."
"32",8.3015933390911e-10,0.220352453238627,-105.813023060724,1.94644806654529,0.0342680306081179,0.460322737588342,-86.9690496928692,1.33526594162166,"Optimization has converged."
"33",1.41124986453425e-07,0.220352453238627,-105.813023060724,1.94644806654529,0.0413215842713613,0.392408296368544,-91.9593446044277,1.53332861652681,"Optimization has converged."
