"","Pval","ERRate","ERloglik","ERace","ARDRate0","ARDRate1","ARDloglik","ARDace","convergence"
"1",4.19658827614826e-07,0.272519036377951,-120.348737828067,2.15471685094383,0.0512155892732517,0.471728637948166,-107.547863285137,1.75549747770536,"Optimization has converged."
"2",1.720553231851e-07,0.272519036377951,-120.348737828067,2.15471685094383,0.0644888711825567,0.50224915395858,-106.686697597679,1.77429095003632,"Optimization has converged."
"3",3.55014809192742e-08,0.272519036377951,-120.348737828067,2.15471685094383,0.0598632028485626,0.547062424742697,-105.158310486295,2.15370996929741,"Optimization has converged."
"4",3.65642117730545e-09,0.272519036377951,-120.348737828067,2.15471685094383,0.0585627440792269,0.588335771413057,-102.949453330365,1.75955550916418,"Optimization has converged."
"5",2.28168932761851e-10,0.272519036377951,-120.348737828067,2.15471685094383,0.0409481808875198,0.591055857756125,-100.244128209707,1.74659655117035,"Optimization has converged."
"6",7.68917566115828e-08,0.272519036377951,-120.348737828067,2.15471685094383,0.0613715791086436,0.51989350965901,-105.907326044945,1.76009496657916,"Optimization has converged."
"7",1.22922824984416e-07,0.272519036377951,-120.348737828067,2.15471685094383,0.0633245503060643,0.493017341500565,-106.361473189851,1.79012427856175,"Optimization has converged."
"8",1.13889732401014e-08,0.272519036377951,-120.348737828067,2.15471685094383,0.0561699473972781,0.545455585506641,-104.054514373831,1.86260005358928,"Optimization has converged."
"9",1.11933801405358e-08,0.272519036377951,-120.348737828067,2.15471685094383,0.0569799784689561,0.550467432862162,-104.037679926111,1.81726214491005,"Optimization has converged."
"10",3.01852844378938e-10,0.272519036377951,-120.348737828067,2.15471685094383,0.0368648851453028,0.562516905699291,-100.517443894428,1.59958009938881,"Optimization has converged."
